Student Name,Student ID,Class Level,Pass/Audit,Repeated,Preferred Email
"Aleman, Alecia",447169,,,,Alecia.Aleman@the.univ.edu
"Asbury, Josiah",440622,,,,Josiah.Asbury@the.univ.edu
"Boyles, Kendyl",442596,,,,Kendyl.Boyles@the.univ.edu
"Brackett, Catalina",440148,,,,Catalina.Brackett@the.univ.edu
"Carden, Marquez",443340,,,,Marquez.Carden@the.univ.edu
"Chadwick, Gretchen",447608,,,,Gretchen.Chadwick@the.univ.edu
"Coker, Kathy",440695,,,,Kathy.Coker@the.univ.edu
"Corrigan, Saige",448647,,,,Saige.Corrigan@the.univ.edu
"Crowder, Fabian",441988,,,,Fabian.Crowder@the.univ.edu
"Doe, Alissa",447686,,,,Alissa.Doe@the.univ.edu
"Dotson, Madyson",441471,,,,Madyson.Dotson@the.univ.edu
"Farias, Kristina",447105,,,,Kristina.Farias@the.univ.edu
"Farnsworth, Sierra",445168,,,,Sierra.Farnsworth@the.univ.edu
"Grant, Britton",444686,,,,Britton.Grant@the.univ.edu
"Hu, Chaim",444698,,,,Chaim.Hu@the.univ.edu
"Judd, Samuel",445614,,,,Samuel.Judd@the.univ.edu
"Lima, Tristan",443989,,,,Tristan.Lima@the.univ.edu
"Lincoln, Jadah",442315,,,,Jadah.Lincoln@the.univ.edu
"Lindsey, Bryant",443676,,,,Bryant.Lindsey@the.univ.edu
"Marrero, Davin",444398,,,,Davin.Marrero@the.univ.edu
"Mercer, Salvatore",443471,,,,Salvatore.Mercer@the.univ.edu
"Miranda, Kya",441356,,,,Kya.Miranda@the.univ.edu
"Queen, Kaitlynn",444937,,,,Kaitlynn.Queen@the.univ.edu
"Reinhardt, Lily",444934,,,,Lily.Reinhardt@the.univ.edu
"Saldana, Serenity",445098,,,,Serenity.Saldana@the.univ.edu
"Showalter, Adrien",441184,,,,Adrien.Showalter@the.univ.edu
"Sneed, Aldo",442373,,,,Aldo.Sneed@the.univ.edu
"Spangler, Dominick",442386,,,,Dominick.Spangler@the.univ.edu
"Stamper, Dustyn",440383,,,,Dustyn.Stamper@the.univ.edu
"Torrez, Gavyn",447500,,,,Gavyn.Torrez@the.univ.edu
